iso3,wb_name,year,population
ABW,Aruba,2024,107995
AFG,Afghanistan,2024,42647492
AGO,Angola,2024,37885849
ALB,Albania,2024,2377128
AND,Andorra,2024,81938
ARE,United Arab Emirates,2024,10986400
ARG,Argentina,2024,45696159
ARM,Armenia,2024,3033500
ASM,American Samoa,2024,46765
ATG,Antigua and Barbuda,2024,93772
AUS,Australia,2024,27196812
AUT,Austria,2024,9177982
AZE,Azerbaijan,2024,10202830
BDI,Burundi,2024,14047786
BEL,Belgium,2024,11858610
BEN,Benin,2024,14462724
BFA,Burkina Faso,2024,23548781
BGD,Bangladesh,2024,173562364
BGR,Bulgaria,2024,6441421
BHR,Bahrain,2024,1588670
BHS,"Bahamas, The",2024,401283
BIH,Bosnia and Herzegovina,2024,3164253
BLR,Belarus,2024,9132629
BLZ,Belize,2024,417072
BMU,Bermuda,2024,64636
BOL,Bolivia,2024,12413315
BRA,Brazil,2024,211998573
BRB,Barbados,2024,282467
BRN,Brunei Darussalam,2024,462721
BTN,Bhutan,2024,791524
BWA,Botswana,2024,2521139
CAF,Central African Republic,2024,5330690
CAN,Canada,2024,41288599
CHE,Switzerland,2024,9005582
CHL,Chile,2024,19764771
CHN,China,2024,1408975000
CIV,Cote d'Ivoire,2024,31934230
CMR,Cameroon,2024,29123744
COD,"Congo, Dem. Rep.",2024,109276265
COG,"Congo, Rep.",2024,6332961
COL,Colombia,2024,52886363
COM,Comoros,2024,866628
CPV,Cabo Verde,2024,524877
CRI,Costa Rica,2024,5129910
CUB,Cuba,2024,10979783
CUW,Curacao,2024,155967
CYM,Cayman Islands,2024,74457
CYP,Cyprus,2024,1358282
CZE,Czechia,2024,10905028
DEU,Germany,2024,83516593
DJI,Djibouti,2024,1168722
DMA,Dominica,2024,66205
DNK,Denmark,2024,5976992
DOM,Dominican Republic,2024,11427557
DZA,Algeria,2024,46814308
ECU,Ecuador,2024,18135478
EGY,"Egypt, Arab Rep.",2024,116538258
ERI,Eritrea,2024,3535603
ESP,Spain,2024,48848840
EST,Estonia,2024,1372341
ETH,Ethiopia,2024,132059767
FIN,Finland,2024,5619911
FJI,Fiji,2024,928784
FRA,France,2024,68551653
FRO,Faroe Islands,2024,54681
FSM,"Micronesia, Fed. Sts.",2024,113160
GAB,Gabon,2024,2538952
GBR,United Kingdom,2024,69226000
GEO,Georgia,2024,3699557
GHA,Ghana,2024,34427414
GIB,Gibraltar,2024,39329
GIN,Guinea,2024,14754785
GMB,"Gambia, The",2024,2759988
GNB,Guinea-Bissau,2024,2201352
GNQ,Equatorial Guinea,2024,1892516
GRC,Greece,2024,10405134
GRD,Grenada,2024,117207
GRL,Greenland,2024,56836
GTM,Guatemala,2024,18406359
GUM,Guam,2024,167777
GUY,Guyana,2024,831087
HKG,"Hong Kong SAR, China",2024,7524100
HND,Honduras,2024,10825703
HRV,Croatia,2024,3866200
HTI,Haiti,2024,11772557
HUN,Hungary,2024,9562065
IDN,Indonesia,2024,283487931
IMN,Isle of Man,2024,84160
IND,India,2024,1450935791
IRL,Ireland,2024,5395790
IRN,"Iran, Islamic Rep.",2024,91567738
IRQ,Iraq,2024,46042015
ISL,Iceland,2024,386506
ISR,Israel,2024,9974400
ITA,Italy,2024,58952704
JAM,Jamaica,2024,2839175
JOR,Jordan,2024,11552876
JPN,Japan,2024,123975371
KAZ,Kazakhstan,2024,20592571
KEN,Kenya,2024,56432944
KGZ,Kyrgyz Republic,2024,7221868
KHM,Cambodia,2024,17638801
KIR,Kiribati,2024,134518
KNA,St. Kitts and Nevis,2024,46843
KOR,"Korea, Rep.",2024,51751065
KWT,Kuwait,2024,4897263
LAO,Lao PDR,2024,7769819
LBN,Lebanon,2024,5805962
LBR,Liberia,2024,5612817
LBY,Libya,2024,7381023
LCA,St. Lucia,2024,179744
LIE,Liechtenstein,2024,40450
LKA,Sri Lanka,2024,21916000
LSO,Lesotho,2024,2337423
LTU,Lithuania,2024,2888278
LUX,Luxembourg,2024,677012
LVA,Latvia,2024,1866124
MAC,"Macao SAR, China",2024,687000
MAF,St. Martin (French part),2024,26129
MAR,Morocco,2024,38081173
MCO,Monaco,2024,38631
MDA,Moldova,2024,2402306
MDG,Madagascar,2024,31964956
MDV,Maldives,2024,527799
MEX,Mexico,2024,130861007
MHL,Marshall Islands,2024,37548
MKD,North Macedonia,2024,1824359
MLI,Mali,2024,24478595
MLT,Malta,2024,568847
MMR,Myanmar,2024,54500091
MNE,Montenegro,2024,623525
MNG,Mongolia,2024,3524788
MNP,Northern Mariana Islands,2024,44278
MOZ,Mozambique,2024,34631766
MRT,Mauritania,2024,5169395
MUS,Mauritius,2024,1245779
MWI,Malawi,2024,21655286
MYS,Malaysia,2024,35557673
NAM,Namibia,2024,3030131
NCL,New Caledonia,2024,292639
NER,Niger,2024,27032412
NGA,Nigeria,2024,232679478
NIC,Nicaragua,2024,6916140
NLD,Netherlands,2024,17993485
NOR,Norway,2024,5572279
NPL,Nepal,2024,29651054
NRU,Nauru,2024,11947
NZL,New Zealand,2024,5287500
OMN,Oman,2024,5281538
PAK,Pakistan,2024,251269164
PAN,Panama,2024,4515577
PER,Peru,2024,34217848
PHL,Philippines,2024,115843670
PLW,Palau,2024,17695
PNG,Papua New Guinea,2024,10576502
POL,Poland,2024,36559233
PRI,Puerto Rico (US),2024,3203295
PRK,"Korea, Dem. People's Rep.",2024,26498823
PRT,Portugal,2024,10694681
PRY,Paraguay,2024,6929153
PSE,West Bank and Gaza,2024,5289152
PYF,French Polynesia,2024,281807
QAT,Qatar,2024,2857822
ROU,Romania,2024,19051804
RUS,Russian Federation,2024,143533851
RWA,Rwanda,2024,14256567
SAU,Saudi Arabia,2024,35300280
SDN,Sudan,2024,50448963
SEN,Senegal,2024,18501984
SGP,Singapore,2024,6036860
SLB,Solomon Islands,2024,819198
SLE,Sierra Leone,2024,8642022
SLV,El Salvador,2024,6338193
SMR,San Marino,2024,33977
SOM,"Somalia, Fed. Rep.",2024,19009151
SRB,Serbia,2024,6586476
SSD,South Sudan,2024,11943408
STP,Sao Tome and Principe,2024,235536
SUR,Suriname,2024,634431
SVK,Slovak Republic,2024,5422069
SVN,Slovenia,2024,2127400
SWE,Sweden,2024,10569709
SWZ,Eswatini,2024,1242822
SXM,Sint Maarten (Dutch part),2024,43350
SYC,Seychelles,2024,121354
SYR,Syrian Arab Republic,2024,24672760
TCA,Turks and Caicos Islands,2024,46535
TCD,Chad,2024,20299123
TGO,Togo,2024,9515236
THA,Thailand,2024,71668011
TJK,Tajikistan,2024,10590927
TKM,Turkmenistan,2024,7494498
TLS,Timor-Leste,2024,1400638
TON,Tonga,2024,104175
TTO,Trinidad and Tobago,2024,1368333
TUN,Tunisia,2024,12277109
TUR,Turkiye,2024,85518661
TUV,Tuvalu,2024,9646
TZA,Tanzania,2024,68560157
UGA,Uganda,2024,50015092
UKR,Ukraine,2024,37860221
URY,Uruguay,2024,3386588
USA,United States,2024,340110988
UZB,Uzbekistan,2024,36361859
VCT,St. Vincent and the Grenadines,2024,100616
VEN,"Venezuela, RB",2024,28405543
VGB,British Virgin Islands,2024,39471
VIR,Virgin Islands (U.S.),2024,104377
VNM,Viet Nam,2024,100987686
VUT,Vanuatu,2024,327777
WSM,Samoa,2024,218019
XKX,Kosovo,2024,1594353
YEM,"Yemen, Rep.",2024,40583164
ZAF,South Africa,2024,64007187
ZMB,Zambia,2024,21314956
ZWE,Zimbabwe,2024,16634373
